interview__key;Date;hh_02;settlement;members;memnal;Weight;fdpurch;fdcons;fdout;Z1;nfdpurch;nonfdgif;durble;expend;monincome;totincome;nonmoninc;y1_3amd.1.00;y1_3amd.2.00;y1_3amd.3.00;y1_3amd.4.00;y1_3amd.6.00;y1_3amd.8.00;y1_3amd.9.00;y1_3amd.10.00;y1_3amd.13.00;y1_3amd.14.00;y1_3amd.15.00;y1_3amd.17.00;y1_3amd.18.00;y1_3amd.19.00;y1_3amd.23.00;y1_3amd.28.00;hhch_0_3_sum;hhch_4_5_sum;hhch_6_11_sum;hhch_12_17_sum;hheld_63_65_sum;hheld_66_70_sum;hheld_71_80_sum;hheld_over81_sum;hheld_over63_sum;headsex;headeduc;headmerstatus;headage;aec_r;poverty;pweight;ae_r;hous_01;hous_13;hous_16;hous_29_0__1;hous_29_0__2;hous_29_0__3;hous_29_0__4;hous_29_0__5;hous_29_0__6;hous_29_0__7;hous_39;hous_44;soc_01;soc_05;hous_47
00-00-98-37;2021,04;5,00;2,00;3,00;3,00;156,84;16663,99;3713,27;0,00;2034,90;24473,21;86000,00;0,00;132885,37;308750,00;398463,27;89713,27;#ПУСТО!;300000,00;8750,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;3,00;1,00;32,00;103378,14;1,00;470,53;2,33;1,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;2,00;2,00;2,00;#ПУСТО!;#ПУСТО!
00-01-30-63;2021,09;3,00;2,00;1,00;1,00;222,14;35370,24;0,00;0,00;1007,73;8693,45;14208,33;0,00;59279,75;54000,00;68208,33;14208,33;#ПУСТО!;#ПУСТО!;0,00;44000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;10000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;1,00;2,00;5,00;3,00;82,00;54989,31;1,00;222,14;1,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;2,00;3,00;2,00;#ПУСТО!;1,00
00-03-17-62;2021,03;3,00;1,00;2,00;2,00;91,06;37977,38;7126,92;0,00;2464,31;10863,10;45000,00;0,00;103431,71;449000,00;501126,92;52126,92;410000,00;#ПУСТО!;0,00;39000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;1,00;3,00;1,00;64,00;76034,63;1,00;182,13;1,83;2,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;3,00;2,00;#ПУСТО!;1,00
00-07-18-82;2021,06;3,00;2,00;1,00;1,00;222,14;28619,32;2668,31;0,00;4377,96;6912,88;13727,78;0,00;56306,24;35000,00;51396,09;16396,09;#ПУСТО!;30000,00;5000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;2,00;3,00;3,00;61,00;90515,47;1,00;222,14;0,81;1,00;5,00;#ПУСТО!;0,00;0,00;1,00;0,00;0,00;0,00;0,00;2,00;4,00;2,00;#ПУСТО!;1,00
00-07-30-69;2021,06;11,00;1,00;2,00;2,00;138,21;11119,46;0,00;0,00;1485,95;14035,12;17040,00;0,00;43680,53;148000,00;165040,00;17040,00;70000,00;#ПУСТО!;0,00;69000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;9000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;#ПУСТО!;1,00;2,00;6,00;3,00;74,00;51240,04;1,00;276,43;1,83;2,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;2,00;3,00;2,00;#ПУСТО!;1,00
00-10-00-09;2021,11;6,00;1,00;4,00;4,00;156,33;61789,29;0,00;0,00;2013,13;16946,43;18433,33;0,00;99182,18;119000,00;137433,33;18433,33;90000,00;#ПУСТО!;0,00;#ПУСТО!;29000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;2,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;3,00;1,00;41,00;44420,20;2,00;625,32;2,83;2,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;3,00;1,00;10,00;#ПУСТО!
00-10-54-86;2021,09;8,00;1,00;3,00;3,00;185,77;125077,68;0,00;13470,24;3957,18;87527,98;21666,67;45833,33;297533,07;190000,00;211666,67;21666,67;190000,00;#ПУСТО!;0,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;6,00;1,00;31,00;97484,61;1,00;557,31;2,33;2,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;3,00;2,00;2,00;#ПУСТО!;1,00
00-11-75-01;2021,06;1,00;1,00;2,00;2,00;118,39;74797,35;0,00;0,00;2658,63;157651,97;205344,44;15000,00;455452,39;240000,00;445344,44;205344,44;#ПУСТО!;210000,00;0,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;30000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;5,00;1,00;52,00;157115,55;1,00;236,78;1,48;2,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;3,00;2,00;#ПУСТО!;1,00
00-12-27-43;2021,09;9,00;1,00;4,00;4,00;117,45;89729,17;2724,19;0,00;963,09;34804,46;80822,02;0,00;209042,94;317500,00;401046,22;83546,22;280000,00;#ПУСТО!;0,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;26500,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;11000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;#ПУСТО!;1,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;3,00;1,00;31,00;67269,42;1,00;469,81;2,83;2,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;3,00;2,00;#ПУСТО!;1,00
00-13-51-78;2021,12;3,00;2,00;2,00;2,00;222,14;85579,46;0,00;0,00;1328,83;7781,85;53866,67;0,00;148556,80;40000,00;93866,67;53866,67;#ПУСТО!;#ПУСТО!;0,00;40000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;#ПУСТО!;#ПУСТО!;1,00;1,00;3,00;1,00;66,00;81287,45;1,00;444,28;1,83;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;2,00;3,00;2,00;#ПУСТО!;1,00
00-16-08-99;2021,03;1,00;1,00;4,00;4,00;24,03;52664,29;539,89;0,00;2396,19;27483,63;114483,33;0,00;197567,33;105000,00;220023,22;115023,22;#ПУСТО!;#ПУСТО!;0,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;105000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;6,00;1,00;56,00;55290,36;1,00;96,11;3,34;1,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;3,00;2,00;#ПУСТО!;#ПУСТО!
00-16-37-38;2021,08;2,00;2,00;2,00;2,00;39,33;41397,08;0,00;0,00;1880,65;19162,50;22069,44;0,00;84509,67;125000,00;147069,44;22069,44;#ПУСТО!;70000,00;0,00;55000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;1,00;4,00;1,00;65,00;84873,46;1,00;78,66;1,36;1,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;2,00;2,00;#ПУСТО!;#ПУСТО!
00-17-76-43;2021,03;6,00;1,00;4,00;4,00;156,33;57074,70;2320,33;0,00;3734,61;42844,05;43800,00;20833,33;170607,02;68000,00;114120,33;46120,33;68000,00;#ПУСТО!;0,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;6,00;1,00;58,00;57434,75;1,00;625,32;3,34;2,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;3,00;2,00;#ПУСТО!;1,00
00-20-70-97;2021,11;2,00;1,00;3,00;3,00;124,05;88251,79;0,00;0,00;1475,92;12622,92;32983,33;0,00;135333,96;130000,00;162983,33;32983,33;130000,00;#ПУСТО!;0,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;3,00;1,00;56,00;56412,64;1,00;372,14;2,60;2,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;3,00;2,00;#ПУСТО!;1,00
00-31-50-13;2021,07;1,00;1,00;1,00;1,00;326,88;27266,37;8999,74;2172,62;765,38;18423,81;6780,00;0,00;64407,92;287600,00;303379,74;15779,74;95000,00;#ПУСТО!;0,00;70000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;20000,00;102600,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;#ПУСТО!;1,00;2,00;6,00;3,00;74,00;85515,63;1,00;326,88;1,00;2,00;1,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;1,00;3,00;2,00;#ПУСТО!;1,00
00-34-00-60;2021,05;9,00;1,00;2,00;2,00;117,45;82472,62;0,00;0,00;1350,53;23877,08;18500,00;0,00;126200,24;118000,00;136500,00;18500,00;#ПУСТО!;#ПУСТО!;0,00;118000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;5,00;1,00;56,00;75103,00;1,00;234,91;1,83;1,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;2,00;2,00;#ПУСТО!;1,00
00-36-03-46;2021,04;8,00;2,00;1,00;1,00;126,66;24333,33;2359,36;0,00;3177,92;4842,59;12300,00;0,00;47013,21;44500,00;59159,36;14659,36;#ПУСТО!;#ПУСТО!;4500,00;40000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;1,00;1,00;3,00;3,00;81,00;75570,88;1,00;126,66;0,68;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;3,00;1,00;5,00;#ПУСТО!
00-36-79-55;2021,09;3,00;2,00;2,00;2,00;222,14;25332,74;3647,36;0,00;3198,48;3910,71;24400,00;0,00;60489,29;286000,00;314047,36;28047,36;150000,00;80000,00;20000,00;36000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;#ПУСТО!;1,00;1,00;4,00;1,00;74,00;60657,92;1,00;444,28;1,83;1,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;2,00;3,00;2,00;#ПУСТО!;1,00
00-41-89-52;2021,12;9,00;1,00;4,00;4,00;117,45;184020,83;3090,09;0,00;1819,98;2715,77;33000,00;0,00;224646,68;260000,00;296090,09;36090,09;260000,00;#ПУСТО!;0,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;2,00;3,00;3,00;52,00;49240,86;1,00;469,81;3,08;2,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;3,00;2,00;#ПУСТО!;1,00
00-42-89-64;2021,04;6,00;1,00;2,00;2,00;156,33;33697,32;4489,35;0,00;2128,41;7517,26;61900,00;0,00;109732,34;184100,00;250489,35;66389,35;#ПУСТО!;#ПУСТО!;0,00;81500,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;102600,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;3,00;1,00;55,00;99241,74;1,00;312,66;1,83;2,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;2,00;2,00;#ПУСТО!;1,00
00-43-21-13;2021,11;1,00;1,00;7,00;7,00;24,03;112107,14;0,00;117321,43;2210,19;35630,95;44500,00;16666,67;328436,38;430000,00;474500,00;44500,00;430000,00;#ПУСТО!;0,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;3,00;1,00;57,00;37488,34;2,00;168,19;5,20;1,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;3,00;2,00;#ПУСТО!;1,00
00-47-47-90;2021,06;3,00;1,00;5,00;5,00;91,06;104003,27;4949,06;6517,86;3770,44;53178,87;49233,33;3333,33;224986,16;475000,00;529182,39;54182,39;150000,00;200000,00;125000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;3,00;1,00;57,00;48557,16;1,00;455,32;4,06;2,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;2,00;2,00;#ПУСТО!;1,00
00-47-57-10;2021,09;4,00;1,00;2,00;2,00;109,82;11862,50;0,00;0,00;572,52;31795,00;45900,00;0,00;90130,02;96500,00;142400,00;45900,00;#ПУСТО!;70000,00;0,00;26500,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;2,00;1,00;48,00;32770,56;2,00;219,65;1,83;1,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;3,00;2,00;#ПУСТО!;1,00
00-49-04-97;2021,05;6,00;1,00;4,00;4,00;156,33;126815,77;0,00;0,00;3066,87;34001,49;62925,00;0,00;226809,13;250000,00;312925,00;62925,00;130000,00;120000,00;0,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;2,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;6,00;1,00;52,00;79699,21;1,00;625,32;3,34;2,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;3,00;2,00;#ПУСТО!;1,00
00-50-62-00;2021,12;10,00;1,00;2,00;2,00;51,44;149085,12;0,00;0,00;2339,86;4779,76;18700,00;0,00;174904,74;94800,00;113500,00;18700,00;68000,00;#ПУСТО!;0,00;26800,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;2,00;3,00;3,00;59,00;68032,73;1,00;102,87;1,83;2,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;3,00;2,00;#ПУСТО!;1,00
00-52-81-73;2021,03;1,00;1,00;2,00;2,00;21,48;30503,57;0,00;0,00;1169,79;9997,62;62166,67;10833,33;114670,98;75000,00;137166,67;62166,67;#ПУСТО!;#ПУСТО!;0,00;75000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;#ПУСТО!;1,00;#ПУСТО!;2,00;1,00;5,00;1,00;72,00;72698,82;1,00;42,96;1,83;2,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;3,00;2,00;#ПУСТО!;1,00
00-59-05-14;2021,12;6,00;1,00;5,00;5,00;156,33;154451,49;0,00;0,00;2780,28;64341,07;125666,67;0,00;347239,51;579000,00;704666,67;125666,67;220000,00;#ПУСТО!;0,00;59000,00;#ПУСТО!;300000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;2,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;2,00;5,00;3,00;65,00;75610,17;1,00;781,65;3,56;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;3,00;2,00;#ПУСТО!;1,00
00-65-21-63;2021,04;7,00;1,00;2,00;2,00;199,57;38629,17;0,00;0,00;2193,31;72739,05;25400,00;0,00;138961,52;251250,00;276650,00;25400,00;250000,00;#ПУСТО!;1250,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;6,00;1,00;60,00;89754,13;1,00;399,14;1,83;2,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;2,00;2,00;#ПУСТО!;1,00
00-68-29-65;2021,06;1,00;1,00;3,00;3,00;326,88;15490,77;28698,78;0,00;1302,40;18032,74;17300,00;0,00;80824,69;100000,00;145998,78;45998,78;80000,00;#ПУСТО!;0,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;20000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;3,00;1,00;55,00;41814,52;2,00;980,64;2,33;1,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;3,00;2,00;#ПУСТО!;1,00
00-68-64-08;2021,08;3,00;2,00;3,00;3,00;222,14;31025,00;7145,91;0,00;964,03;52030,36;32937,50;0,00;124102,80;280666,67;320750,07;40083,41;154000,00;100000,00;26666,67;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;2,00;3,00;3,00;54,00;44740,63;2,00;666,42;2,60;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;2,00;3,00;2,00;#ПУСТО!;#ПУСТО!
00-68-87-77;2021,05;11,00;1,00;2,00;2,00;138,21;61289,58;4770,88;0,00;2918,15;26719,94;25364,29;0,00;121062,84;104600,00;134735,16;30135,16;#ПУСТО!;#ПУСТО!;0,00;65100,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;39500,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;2,00;#ПУСТО!;#ПУСТО!;2,00;1,00;2,00;1,00;70,00;87028,52;1,00;276,43;1,83;2,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;3,00;4,00;2,00;#ПУСТО!;2,00
00-70-01-04;2021,09;3,00;2,00;2,00;2,00;222,14;45581,55;1585,15;3041,67;1227,78;30000,00;13100,00;0,00;94536,15;309541,67;324226,82;14685,15;300000,00;#ПУСТО!;9541,67;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;2,00;6,00;2,00;57,00;51673,99;1,00;444,28;1,83;1,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;2,00;3,00;2,00;#ПУСТО!;1,00
00-75-13-50;2021,01;11,00;2,00;5,00;5,00;99,80;14382,74;17862,93;0,00;2165,03;57437,50;37791,67;0,00;129639,86;113000,00;168654,59;55654,59;68000,00;#ПУСТО!;0,00;45000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;1,00;#ПУСТО!;1,00;#ПУСТО!;#ПУСТО!;1,00;2,00;5,00;3,00;66,00;55657,35;1,00;498,98;3,56;1,00;3,00;#ПУСТО!;0,00;0,00;0,00;-999999999,00;0,00;1,00;0,00;2,00;3,00;2,00;#ПУСТО!;1,00
00-76-07-51;2021,07;11,00;1,00;7,00;7,00;138,21;77323,51;958,69;0,00;2796,13;16188,99;43116,67;0,00;140383,99;106000,00;150075,36;44075,36;#ПУСТО!;#ПУСТО!;0,00;70000,00;36000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;#ПУСТО!;2,00;1,00;1,00;#ПУСТО!;#ПУСТО!;2,00;1,00;3,00;1,00;70,00;29380,92;2,00;967,49;4,96;2,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;3,00;1,00;7,00;1,00
