interview__key;Date;hh_02;settlement;members;memnal;Weight;fdpurch;fdcons;fdout;Z1;nfdpurch;nonfdgif;durble;expend;monincome;totincome;nonmoninc;y1_3amd.1.00;y1_3amd.2.00;y1_3amd.3.00;y1_3amd.4.00;y1_3amd.6.00;y1_3amd.8.00;y1_3amd.9.00;y1_3amd.10.00;y1_3amd.13.00;y1_3amd.14.00;y1_3amd.15.00;y1_3amd.17.00;y1_3amd.18.00;y1_3amd.19.00;y1_3amd.23.00;y1_3amd.28.00;hhch_0_3_sum;hhch_4_5_sum;hhch_6_11_sum;hhch_12_17_sum;hheld_63_65_sum;hheld_66_70_sum;hheld_71_80_sum;hheld_over81_sum;hheld_over63_sum;headsex;headeduc;headmerstatus;headage;aec_r;poverty;pweight;ae_r;hous_01;hous_13;hous_16;hous_29_0__1;hous_29_0__2;hous_29_0__3;hous_29_0__4;hous_29_0__5;hous_29_0__6;hous_29_0__7;hous_39;hous_44;soc_01;soc_05;hous_47
53-37-71-00;2021,01;2,00;1,00;3,00;3,00;124,05;18228,27;0,00;0,00;2177,44;33793,15;30710,00;0,00;84908,86;366800,00;397510,00;30710,00;180000,00;150000,00;0,00;36800,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;1,00;3,00;1,00;64,00;100595,14;1,00;372,14;2,60;1,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;2,00;2,00;#ПУСТО!;#ПУСТО!
53-38-60-46;2021,02;7,00;2,00;7,00;7,00;259,53;23963,99;23520,53;0,00;2927,46;59436,67;162647,22;0,00;272495,87;422458,33;608626,08;186167,75;#ПУСТО!;300000,00;86458,33;36000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;2,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;1,00;1,00;5,00;1,00;58,00;63592,12;1,00;1816,69;4,96;1,00;1,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;2,00;2,00;2,00;#ПУСТО!;1,00
53-38-91-21;2021,10;8,00;2,00;6,00;6,00;126,66;86969,94;21111,70;0,00;4377,47;41761,31;39833,33;0,00;194053,75;586000,00;646945,03;60945,03;#ПУСТО!;#ПУСТО!;0,00;72000,00;34000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;480000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;3,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;2,00;2,00;1,00;3,00;1,00;85,00;45218,94;2,00;759,94;4,51;1,00;3,00;#ПУСТО!;0,00;0,00;0,00;1,00;0,00;0,00;0,00;4,00;3,00;1,00;10,00;1,00
53-42-25-99;2021,11;3,00;2,00;2,00;2,00;222,14;61615,48;0,00;0,00;784,23;3910,71;20200,00;0,00;86510,42;112000,00;132200,00;20200,00;112000,00;#ПУСТО!;0,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;2,00;5,00;3,00;61,00;51328,70;1,00;444,28;1,83;1,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;2,00;3,00;2,00;#ПУСТО!;1,00
53-43-84-70;2021,04;2,00;1,00;4,00;4,00;208,43;80213,10;2216,54;0,00;3224,83;46276,79;36233,33;0,00;168164,59;158000,00;196449,87;38449,87;#ПУСТО!;120000,00;0,00;38000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;#ПУСТО!;1,00;2,00;2,00;3,00;80,00;64247,54;1,00;833,73;3,08;2,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;2,00;2,00;#ПУСТО!;1,00
53-46-02-40;2021,11;9,00;1,00;1,00;1,00;117,45;44777,68;3518,01;0,00;867,01;4888,39;10000,00;0,00;64051,10;80000,00;93518,01;13518,01;#ПУСТО!;#ПУСТО!;0,00;62000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;18000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;2,00;5,00;4,00;64,00;79032,61;1,00;117,45;1,00;2,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;3,00;2,00;#ПУСТО!;1,00
53-47-14-66;2021,05;8,00;1,00;3,00;3,00;185,77;35326,79;7581,49;0,00;2235,81;10000,00;81126,19;0,00;136270,27;184754,00;273461,68;88707,68;#ПУСТО!;60000,00;0,00;#ПУСТО!;24000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;100754,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;3,00;1,00;27,00;58097,74;1,00;557,31;2,33;2,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;3,00;1,00;2,00;2,00
53-47-25-67;2021,03;1,00;1,00;2,00;2,00;118,39;121362,50;0,00;0,00;2639,23;93270,54;63400,00;15000,00;295672,27;160000,00;223400,00;63400,00;#ПУСТО!;160000,00;0,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;6,00;1,00;58,00;150567,31;1,00;236,78;1,83;2,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;3,00;2,00;#ПУСТО!;3,00
53-47-26-15;2021,02;1,00;1,00;5,00;5,00;92,66;56705,36;0,00;4997,02;3708,18;40457,74;77480,56;0,00;183348,85;420000,00;497480,56;77480,56;180000,00;150000,00;0,00;90000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;#ПУСТО!;2,00;#ПУСТО!;#ПУСТО!;2,00;1,00;5,00;1,00;70,00;57843,97;1,00;463,29;3,81;2,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;3,00;2,00;#ПУСТО!;1,00
53-48-12-52;2021,10;1,00;1,00;1,00;1,00;247,47;15534,23;0,00;11297,62;1028,39;4345,24;71913,33;0,00;104118,81;98200,00;170113,33;71913,33;64000,00;#ПУСТО!;0,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;34200,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;2,00;3,00;2,00;53,00;61009,48;1,00;247,47;1,00;1,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;3,00;2,00;#ПУСТО!;1,00
